Ci9DQUlRQUNvZENodHljRjlvT2taclRXOXlRbTkzTlU4eWJIZFNTV1ZZUm0wNWFXYxAB,Dody Rummata,1,⭐,sebulan lalu,"Mohon maaf, Bapak yang di Bagian informasi Gedung Gandhok Kiwa, Tolong LEBIH SOPAN MELAYANI TAMU. Kami dari Hotel sama-sama dari pariwisata ingin bertemu bagian Humas, kami sudah berusaha Dengan senyuman mencoba jelaskan, dan bapaknya …"
ChZDSUhNMG9nS0VJQ0FnSURwcHV5NVJ3EAE,Isgar Dini,5,⭐⭐⭐⭐⭐,3 tahun lalu,"Kantor milk pemerintah ini sangat sejuk dan asri. Di bagian depan terdapat pendopo. Di gedung utama, atapnya menggunakan bahan yang mengijinkan cahaya masuk ke dalam ruangan, sehingga hemat energi. Ada tempat bermain untuk anak-anak bermain.  Pelayanannya ramah."
Ci9DQUlRQUNvZENodHljRjlvT2w5c04xaGhUM0ZrUlVoSmVqaDVMV3RIUkZKT2NFRRAB,Hermin,5,⭐⭐⭐⭐⭐,10 bulan lalu,"Pelayanan cukup cepat, informatif & ramah. Suasana kantor sangat nyaman serta tempat parkir juga memadai."
ChdDSUhNMG9nS0VJQ0FnSURXbm9hMGx3RRAB,Ninda Alza Nur Zahrah,5,⭐⭐⭐⭐⭐,4 tahun lalu,Dua kali mengikuti kegiatan Wajib Kunjung Museum yang diadakan oleh Dinas Kebudayaan Daerah Istimewa Yogyakarta. Sangat menyenangkan dan meruban mindset soal museum. Semoga kegiatan Wajib Kunjung Museum dapat bertahan dan lancar selalu. Di …
ChZDSUhNMG9nS0VJQ0FnSURaZ3JtbFh3EAE,davin rafi arta,5,⭐⭐⭐⭐⭐,2 tahun lalu,"Kantor dinas kebudayaan ini menyediakan bus kebudayaan yang bisa kita nikmati secata gratis
Pengalaman naik bis ini sangat berkesan, dengan perjalanan 1½jam ini kita akan …"
ChZDSUhNMG9nS0VJQ0FnSUNjeC1fZExREAE,febri novianto,4,⭐⭐⭐⭐,6 tahun lalu,"Pelayanan cukup terorganisir. Jadi terpisah antara beberapa pengurusan untuk memudahkan mencari apa yg di urus.
Parkir nyaman dan luas. Dan akses jalan masuk melingkar sehingga sangat nyaman …"
ChZDSUhNMG9nS0VJQ0FnSUNlNW9uUFRREAE,Abah Pengelana dari Kaltim,5,⭐⭐⭐⭐⭐,3 tahun lalu,"Dinas kebudayaan yang benar benar membudaya.
beberapa fasilitas ruang penunjang dan hiasan disetiap sudut ruang Disbud memberikan warna kekhasan budaya jawa yogyakarta.
sangat indah dan terjaga."
ChdDSUhNMG9nS0VJQ0FnSURJbE0ydnRnRRAB,Pungky Pink,4,⭐⭐⭐⭐,7 tahun lalu,"Dinas kebudayaan berada di jalan cendana semaki yogyakarta,  selatan stadion mandala krida yogyakarta,  gedungnya bagus bersih,  terdapat info2 ttg acara2 kebudayaan di kota yogyakarta."
Ci9DQUlRQUNvZENodHljRjlvT2xsVmN6UlZRblYzZUVsbFRYbFlWREZ6Y3pWME1YYxAB,Lestari Wulandari,5,⭐⭐⭐⭐⭐,10 bulan lalu,Tempatnya bersih adem dan bikin nyaman. Rute parkirnya baik dan tertata. Satpamnya komunikatif. Tempatnya juga bersih dan mudah ditemukan.
Ci9DQUlRQUNvZENodHljRjlvT2toTlpWVnJiblJQZW1oT1ZtNTBWR1IxTFhvellsRRAB,Danang Ariyanto,5,⭐⭐⭐⭐⭐,setahun lalu,Bus jogja heritage nyaman bgt.
ChdDSUhNMG9nS0VJQ0FnSURBek1DXzlRRRAB,Nunuk Ambarwati,4,⭐⭐⭐⭐,9 tahun lalu,"Dinas Kebudayaan support untuk event Jogja Street Sculpture Project (JSSP) 2017 nanti. Keren! Kantornya bagus,  ada pendopo nya besar.  Orang""nya juga ramah. Sip"
ChdDSUhNMG9nS0VJQ0FnSURDNTZUcDZRRRAB,Kais Ibad,3,⭐⭐⭐,5 tahun lalu,"Pas nanya ke karyawan / petugas di sini, mau nyari ruang audio visual, malah saling lempar atau diputer2in gak jelas. Kalau emang gak tau tempatnya ya bilang aja, daripada yang nanya makin bingung. …"
Ci9DQUlRQUNvZENodHljRjlvT2xWMFpFNXFYMUJHTUdGd1VVSnFhMDlJZWpSQ1VuYxAB,woshawoshi,1,⭐,4 bulan lalu,"staffnya gak jelas, jelasin materi muter muter doang."
ChZDSUhNMG9nS0VLbTg5YkRka3VhS05BEAE,Lek Antok,5,⭐⭐⭐⭐⭐,setahun lalu,"Monggo pantau Chanel ""topenk_djogja"" yang berisi dan misi kan ikut mengangkat pariwisata dan budaya Yogyakarta. Maturnuwun."
ChZDSUhNMG9nS0VJQ0FnSURsaXB5S2F3EAE,Tuya Katta,4,⭐⭐⭐⭐,2 tahun lalu,Ramah dalam memberikan pelayanan (UPT) Fasilitasi seksi seni
ChZDSUhNMG9nS0VJQ0FnSURnbGMyZ1hBEAE,Iqbal Rizaldin,5,⭐⭐⭐⭐⭐,8 tahun lalu,"Dinas Kebudayaan Provinsi DIY merupakan kantor yang berada di Jalan Cendana No. 11, Semaki, Umbulharjo, Yogyakarta"
ChdDSUhNMG9nS0VJQ0FnSURBbXVDd2lRRRAB,ghufron zaida,5,⭐⭐⭐⭐⭐,8 tahun lalu,Setiap ulang tahun jogja ada pertunjukan wayang kulit
ChdDSUhNMG9nS0VJQ0FnSUNRM01fdm9BRRAB,Firdan Imaduddin,5,⭐⭐⭐⭐⭐,9 tahun lalu,Terdapat pendopo yang biasa digunakan untuk acara kebudayaan
ChdDSUhNMG9nS0VJQ0FnSURPX29YY3JnRRAB,Fildzah Raihan,5,⭐⭐⭐⭐⭐,4 tahun lalu,Bagian surat cukup sigap dan fast respon
ChZDSUhNMG9nS0VJQ0FnSUNBd2RlRmJBEAE,Jaka Julaeha Ferri Randasari,5,⭐⭐⭐⭐⭐,8 tahun lalu,"dinas kebudayaan provinsi diy, ada banyak bidang disana.. salah satunya bidang permuseuman, yaitu ada edukator museum, yang tugasnya adalah mengedukasi pengunjung di museum. sementara ini ada 45 museum di jogjakarta"
ChZDSUhNMG9nS0VJQ0FnSURpMHFUTVJREAE,Dialonicsy,4,⭐⭐⭐⭐,5 tahun lalu,"Tempat yang menarik, saya pergi ke sini saat ada bazaar atau sejenisnya, banyak umkm yg membuka stand dagang"
ChdDSUhNMG9nS0VJQ0FnSURvLU1mZXJRRRAB,Burhanudin Alchemist,4,⭐⭐⭐⭐,7 tahun lalu,Berusaha menyalurkan dana keistimewaan sampai ke desa-desa. Namun sebagian besar masyarakat belum cukup tahu
ChZDSUhNMG9nS0VJQ0FnSUMyMVptcUZ3EAE,JOKO ART SAMIGALUH,5,⭐⭐⭐⭐⭐,4 tahun lalu,"Salam jogja istimewa..
Dinas Kebudayaan DIY,, benar2 Melestarikan budaya dan keistimewaan Yogyakarta sampai ke pelosok 👍👍👍👍 …"
ChZDSUhNMG9nS0VJQ0FnSURrZ1lPMmV3EAE,paryanto trendy,3,⭐⭐⭐,7 tahun lalu,Ruang Bima berada di tengah gedung
Ci9DQUlRQUNvZENodHljRjlvT200eGRXSlZSR3BCU25oRVNVcDJUSFZhTUZoeFIyYxAB,Ali Tarmuji,5,⭐⭐⭐⭐⭐,setahun lalu,Pusatnya pengelola budaya Jigja
ChdDSUhNMG9nS0VJQ0FnSUMzLWFXMG13RRAB,aacel,5,⭐⭐⭐⭐⭐,setahun lalu,mang kantinnya ramah bintang 6
ChZDSUhNMG9nS0VJQ0FnSUQ2Z01xdkFnEAE,Citra Rana,5,⭐⭐⭐⭐⭐,4 tahun lalu,"Dinas Kebudayaan DIY, Menjadi Tempat yang mendukung seluruh kegiatan Kebudayaan Jawa dan Nusantara"
ChZDSUhNMG9nS0VJQ0FnSURVbV9yZkV3EAE,Eko Pramono,5,⭐⭐⭐⭐⭐,6 tahun lalu,Dinas Kebudayaan ini terletak di Jalan Cendana Yogyakarta atau berada di sebelah Utara Dinas Dikpora.
ChZDSUhNMG9nS0VJQ0FnSURodzd2RERREAE,Adib Mareta,5,⭐⭐⭐⭐⭐,3 tahun lalu,Tempat nya luas nyaman bagus dehh
ChdDSUhNMG9nS0VJQ0FnSUNwM3EzTHhBRRAB,WW doc.,5,⭐⭐⭐⭐⭐,3 tahun lalu,Nyaman terasa dan penuh akan nilai budaya Jogja
ChZDSUhNMG9nS0VJQ0FnSURBd0pTMWNnEAE,Catur Danang,5,⭐⭐⭐⭐⭐,9 tahun lalu,Rapat persiapan workshop & lomba komik SMU se DIY
ChdDSUhNMG9nS0VJQ0FnSUM0OWFlRThnRRAB,Djoko Hartomo,5,⭐⭐⭐⭐⭐,7 tahun lalu,"Dinas Kebudayaan merupakan dinas yang mengerjakan merawat, memelihara, melestarikan benda2 cagarbudaya"
